Session	Start	End	Speaker	Affiliation	Title
0	10:00 am	10:10 am	Kleinstein lab	Yale University (US)	Welcome
1	10:10 am	10:30 am	Mr. Titas Grabauskas	The Jackson Laboratory for Genomic Medicine (US)	Latent CMV is Associated with Putative CMV-specific Clonal Expansion in Th1 and GZMK⁺ CD8 T Cells
2	10:30 am	10:50 am	Mr. Kevin Sung	Fred Hutch Cancer Center (US)	Nucleotide Context Models Outperform Protein Language Models For Predicting Antibody Affinity Maturation
3	10:50 am	11:10 am	Dr. Seyedmojtaba Seyedraoufi	University of Oslo (NO)	GATHeR: Graph-based Accurate Tool for immunoglobulin HEavy- and light-chain Reconstruction
4	11:10 am	11:30 am	Prof. Nadia Tahiri	University of Sherbrooke (CA)	New Generalized Metric Based on Branch Length Distance to Compare B Cell Lineage Trees
5	11:30 am	11:50 am	Mr. Vishal Rao	Icahn School of Medicine at Mount Sinai (US)	Clonotype-specificity reveals differential roles of somatic hypermutation in epitope targeting
5.5	11:50 am	12:10 pm	Break		Break
6	12:10 pm	12:30 pm	Dr. Patrick Madden	La Jolla Institute for Immunology (US)	Germline-targeting vaccination elicits HIV broadly neutralizing antibodies in nonhuman primates
7	12:30 pm	12:50 pm	Mr. Eric Zhang	Columbia University Irving Medical Center (US)	Tissue-directed maintenance of vaccine-specific human B-cell memory
8	12:50 pm	1:10 pm	Dr. Kristen Wells	University of Colorado Anschutz Medical Campus (US)	Activated Polyreactive B Cells Are Clonally Expanded in Autoantibody-positive and Patients with New-Onset Type 1 Diabetes
9	1:10 pm	1:30 pm	Dr. Money Gupta	University of New South Wales (AU)	Early emergence of signatures associated with HCV infection outcome
10	1:30 pm	 	Kleinstein lab	Yale University (US)	Wrap up
